"term","package","description","title"
"ifelse","base","Return a or b depending on the value of test","All Functions Used So Far, Week 8"
"setwd","base","Set Working Directory",""
"library","base","Load an R package",""
"read_dta","haven","Read a .dta file (Stata data)",""
"summary","base","Obtain summary statistics or detailed regression output",""
"mutate","dplyr","Modify/create a column in a data frame",""
"ordered","dplyr","Create an ordered factor",""
"cut","base","Convert Numeric to Factor",""
"c","base","Combine values/vectors into a vector",""
"with","base","evaluate expression in the context of a data frame",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"chisq.test","stats","Chi-Squared test (e.g. for cross-tabulations)",""
"prop.test","stats","Test of Equal or Given Proportions",""
"leveneTest","car","Computes Levene's test for homogeneity of variance across groups.",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"read_excel","readxl","Read an Excel file",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"geom_smooth","GGPLOT2","Generates a smoothed conditional means curve / line",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"attach","base","Attach Set of R Objects to Search Path",""
"lm","base","Fit a linear model",""
"as.numeric","base","Coerce a vector to numeric",""
"as.character","base","Coerce a vector to character",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"stargazer","stargazer","Create a regression output table",""
