"term","package","description","title"
"setwd","base","Set Working Directory","All Functions Used on PO33Q"
"library","base","Load an R package",""
"read_excel","readxl","Read an Excel file",""
"head","utils","Show first 5 rows of a data frame",""
"names","base","Retrieve names of a list/vector",""
"str","utils","Get the structure of an R object",""
"mean","base","Get mean of a vector",""
"median","stats","Get median of a vector",""
"seq","base","Create a sequence",""
"dnorm","stats","Density distribution for the normal distribution",""
"plot","graphics","Generic function from base R to produce a plot",""
"min","base","Get minimum of a vector",""
"max","base","Get maximum of a vector",""
"range","base","Return range of values",""
"sd","stats","Get standard deviation of a vector",""
"var","stats","Calculate variance",""
"summary","base","Obtain summary statistics or detailed regression output",""
"mutate","dplyr","Modify/create a column in a data frame",""
"ordered","dplyr","Create an ordered factor",""
"cut","base","Convert Numeric to Factor",""
"c","base","Combine values/vectors into a vector",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"length","base","Returns number of elements in an object",""
"data.frame","base","Create a data.frame from vectors",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"expression","base","Used in plots to add symbols to axes",""
"rnorm","base","Generate random numbers from a normal distribution",""
"as.data.frame","base","Functions to check if an object is a data frame, or coerce it if possible.",""
"sample","base","Takes a sample of the specified size",""
"par","graphics","Set parameters of the plotting device",""
"log","base","log (default base = e)",""
"which","base","return indexes of TRUE entries of a logical vector",""
"ifelse","base","Return a or b depending on the value of test",""
"as.character","base","Coerce a vector to character",""
"lm","base","Fit a linear model",""
"nobs","gdata","Compute the number of non-missing observations",""
"bar","base","Used for annotations, such as ""expression(paste(""-"",bar(y)))""",""
"pnorm","base","Returns the cumulative distribution function (CDF) of the normal distribution",""
"glm","base","Fits generalized linear models",""
"binomial","base","Family argument in glm()",""
"predict","stats","Predict Probability",""
"list","base","Create a list object",""
"modelsummary","modelsummary","Creates regression and data tables",""
"group_tt","tinytable","Grouping in tinytable",""
"stargazer","stargazer","Create a regression output table",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"lag","dplyr","Shift values in a vector or time series",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"unlist","base","Flattens a list into a vector by extracting all its elements",""
"roc","pRoc","Create a Receiver Operating Characteristic (ROC) curve",""
"auc","pRoc","Returns the area under the curve",""
"tibble","tibble","A modern data frame from the tidyverse",""
"attr","base","Access or modify the attributes of an object",""
"regTermTest","regress","Perform statistical tests for individual regression coefficients",""
