"term","package","description","title"
"ifelse","base","Return a or b depending on the value of test","All Functions of Week 1"
"setwd","base","Set Working Directory",""
"library","base","Load an R package",""
"class","base","Retrieve class of an R object",""
"c","base","Combine values/vectors into a vector",""
"mean","base","Get mean of a vector",""
"sd","stats","Get standard deviation of a vector",""
"rbind","base","Combine R objects by rows",""
"cbind","base","Combine R objects by columns",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"ls.str","utils","Similarly to ls, with a print() method that calls str() on each object",""
"read.spss","foreign","Read a .sav file (SPSS data)",""
"attach","base","Attach Set of R Objects to Search Path",""
"View","base","View a data frame",""
"nrow","base","Get number of rows of a data frame",""
"ncol","base","Get number of columns of a data frame",""
"dim","base","Get dimensions of a data frame ",""
"names","base","Retrieve names of a list/vector",""
"str","utils","Get the structure of an R object",""
"head","utils","Show first 5 rows of a data frame",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"plot","graphics","Generic function from base R to produce a plot",""
