"term","package","description","title"
"library","base","Load an R package","All Functions of Week 3"
"theme","GGPLOT2","Set theme for GGPLOT2",""
"element_line","GGPLOT2","Customise line appearance",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"set.seed","base","Initialise a pseudorandom number generator.",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"rename","dplyr","Renames columns in a data frame or tibble.",""
"select","dplyr","Select columns from a tibble/data frame",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"slice_sample","dplyr","Randomly selects rows from a data frame or tibble.",""
"min","base","Get minimum of a vector",""
"nrow","base","Get number of rows of a data frame",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"c","base","Combine values/vectors into a vector",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"geom_smooth","GGPLOT2","Generates a smoothed conditional means curve / line",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"ggsave","ggplot2","Saves the last ggplot or a specified ggplot object to a file",""
"setwd","base","Set Working Directory",""
"read_excel","readxl","Read an Excel file",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
