"term","package","description","title"
"setwd","base","Set Working Directory","All Functions of Week 1"
"library","base","Load an R package",""
"read_excel","readxl","Read an Excel file",""
"head","utils","Show first 5 rows of a data frame",""
"names","base","Retrieve names of a list/vector",""
"str","utils","Get the structure of an R object",""
"mean","base","Get mean of a vector",""
"median","stats","Get median of a vector",""
"seq","base","Create a sequence",""
"dnorm","stats","Density distribution for the normal distribution",""
"plot","graphics","Generic function from base R to produce a plot",""
"min","base","Get minimum of a vector",""
"max","base","Get maximum of a vector",""
"range","base","Return range of values",""
"sd","stats","Get standard deviation of a vector",""
"var","stats","Calculate variance",""
"summary","base","Obtain summary statistics or detailed regression output",""
"mutate","dplyr","Modify/create a column in a data frame",""
"ordered","dplyr","Create an ordered factor",""
"cut","base","Convert Numeric to Factor",""
"c","base","Combine values/vectors into a vector",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"length","base","Returns number of elements in an object",""
