"term","package","description","title"
"theme_latex","tinytable","A theme for modelsummary/tinytable tables","New Functions in Week 8"
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"plotPlane","rockchalk","Draw a 3-D regression plot for two predictors",""
"str","utils","Get the structure of an R object",""
"head","utils","Show first 5 rows of a data frame",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"after_stat","GGPLOT2","Control aesthetic evaluation. On the module used for displying percent",""
"quantile","stats","Obtain empirical quantiles of a vector",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of variables",""
"which","base","return indexes of TRUE entries of a logical vector",""
"colnames","base","Retrieve column names of a data frame",""
"order","base","Get indexes that will sort a vector",""
"print","base","Print object to the console",""
"geom_bar","GGPLOT2","Generates a bar chart",""
"reorder","stats","Reorder Levels of Factor based on the values of a second variable, usually numeric.",""
"coord_flip","GGPLOT2","Flip the x and y axes of a graph",""
"predict","stats","Generate predicted values from model objects",""
"scale_color_discrete","GGPLOT2","Customise the discrete colour scale",""
