"term","package","description","title"
"ifelse","base","Return a or b depending on the value of test","All Functions of Week 8"
"setwd","base","Set Working Directory",""
"library","base","Load an R package",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"names","base","Retrieve names of a list/vector",""
"dim","base","Get dimensions of a data frame ",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"class","base","Retrieve class of an R object",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_smooth","GGPLOT2","Generates a smoothed conditional means curve / line",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"ggtitle","GGPLOT2","Generates a title for a ggplot graph",""
"theme","GGPLOT2","Set theme for GGPLOT2",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"geom_hline","GGPLOT2","Add a horizontal line in GGPLOT2",""
"mean","base","Get mean of a vector",""
"geom_vline","GGPLOT2","Draws a vertical line",""
"lm","base","Fit a linear model",""
"summary","base","Obtain summary statistics or detailed regression output",""
"stargazer","stargazer","Create a regression output table",""
"c","base","Combine values/vectors into a vector",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"attach","base","Attach Set of R Objects to Search Path",""
"str","utils","Get the structure of an R object",""
"head","utils","Show first 5 rows of a data frame",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"sum","base","Get sum of numeric values or a vector",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"quantile","stats","Obtain empirical quantiles of a vector",""
"select","dplyr","Select columns from a tibble/data frame",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of varaibles",""
"which","base","return indexes of TRUE entries of a logical vector",""
"with","base","evaluate expression in the context of a data frame",""
"colnames","base","Retrieve column names of a data frame",""
"order","base","Get indexes that will sort a vector",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"summarise","dplyr","collapse the dataset to a summary statistic. Usually used with group_by()",""
"mutate","dplyr","Modify/create a column in a data frame",""
"print","base","Print object to the console",""
"reorder","stats","Reorder Levels of Factor based on the values of a second variable, usually numeric.",""
"coord_flip","GGPLOT2","Flip the x and y axes of a graph",""
"cor","stats","Calculate Correlation Matrix",""
"confint","stats","Calculate confidence Intervals for Model Parameters",""
"predict","stats","Predict Probability",""
"data.frame","base","Create a data.frame from vectors",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"rbind","base","Combine R objects by rows",""
"as.factor","base","Coerce a vector to factor",""
"scale_colour_manual","GGPLOT2","Create your own discrete scale",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
