"term","package","description","title"
"library","base","Load an R package","All Functions Used on PO11Q"
"read_excel","readxl","Read an Excel file",""
"head","utils","Show first 5 rows of a data frame",""
"names","base","Retrieve names of a list/vector",""
"str","utils","Get the structure of an R object",""
"factor","base","Create a factor",""
"mutate","dplyr","Modify/create a column in a data frame",""
"recode_factor",NA,NA,""
"cut","base","Convert Numeric to Factor",""
"c","base","Combine values/vectors into a vector",""
"levels","base","Get levels of a factor ",""
"recode","dplyr","Recode a variable",""
"ifelse","base","Return a or b depending on the value of test",""
"select","dplyr","Select columns from a tibble/data frame",""
"slice","dplyr","Subset rows using their positions",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of varaibles",""
"desc","dplyr","Arrange in descending order",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"summarise","dplyr","collapse the dataset to a summary statistic. Usually used with group_by()",""
"mean","base","Get mean of a vector",""
"install.packages","base","Install R package",""
"getOption",NA,NA,""
"install_rsthemes",NA,NA,""
"setwd","base","Set Working Directory",""
"View","base","View a data frame",""
"invisible",NA,NA,""
"capture.output",NA,NA,""
"png",NA,NA,""
"par","graphics","Set parameters of the plotting device",""
"seq","base","Create a sequence",""
"dnorm","stats","Density distribution for the normal distribution",""
"plot","graphics","Generic function from base R to produce a plot",""
"expression","base","Used in plots to add symbols to axes",""
"dev.off",NA,NA,""
"theme","GGPLOT2","Set theme for GGPLOT2",""
"element_line","GGPLOT2","Customise line appearance",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"data.frame","base","Create a data.frame from vectors",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_density","GGPLOT2","Generates a density plot",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"geom_ribbon","GGPLOT2","Generates an area plot",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"geom_segment","GGPLOT2","Generates a line segment or curve",""
"element_blank","GGPLOT2","This theme element draws nothing, and assigns no space",""
"ggsave","ggplot2","Saves the last ggplot or a specified ggplot object to a file",""
"median","stats","Get median of a vector",""
"summary","base","Obtain summary statistics or detailed regression output",""
"quantile","stats","Obtain empirical quantiles of a vector",""
"min","base","Get minimum of a vector",""
"max","base","Get maximum of a vector",""
"range","base","Return range of values",""
"sd","stats","Get standard deviation of a vector",""
"var","stats","Calculate variance",""
"hist","graphics","Plot a simple histogram",""
"boxplot","graphics","Plot a simple box plot",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"sum","base","Get sum of numeric values or a vector",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"with","base","evaluate expression in the context of a data frame",""
"print","base","Print object to the console",""
"nrow","base","Get number of rows of a data frame",""
"length","base","Returns number of elements in an object",""
"which.max","base","return index of the largest value in a vector",""
"which.min",NA,NA,""
"ordered","dplyr","Create an ordered factor",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"colnames","base","Retrieve column names of a data frame",""
"gsub",NA,NA,""
"read_dta","haven","Read a .dta file (Stata data)",""
"separate","dplyr","Separate a character column into multiple columns",""
"as.numeric","base","Coerce a vector to numeric",""
"as.character","base","Coerce a vector to character",""
"n","dplyr","The number of observations in the current group.",""
"spread","tidyr","Spread a key-value pair across multiple columns",""
"summarize",NA,NA,""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"write.csv","utils","write a csv file to a data frame",""
"write_dta",NA,NA,""
"save","base","Writes an external representation of R objects to the specified file.",""
"qt",NA,NA,""
"sqrt","stats","Square root",""
"pt",NA,NA,""
"sapply",NA,NA,""
"power_one_sample",NA,NA,""
"power.t.test",NA,NA,""
"sprintf",NA,NA,""
"geom_line","GGPLOT2","Generates a line",""
"geom_hline","GGPLOT2","Add a horizontal line in GGPLOT2",""
"coord_cartesian",NA,NA,""
"theme_minimal",NA,NA,""
"suppressPackageStartupMessages",NA,NA,""
"exists",NA,NA,""
"set.seed","base","Initialise a pseudorandom number generator.",""
"replicate",NA,NA,""
"rnorm","base","Generate random numbers from a normal distribution",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"tibble","tibble","A modern data frame from the tidyverse",""
"stat_ecdf","GGPLOT2","Compute empirical cumulative distribution",""
"geom_abline",NA,NA,""
"F",NA,NA,""
"margin",NA,NA,""
"complete.cases","stats","Find Complete Cases",""
"prop.test","stats","Test of Equal or Given Proportions",""
