"term","package","description","title"
"theme","GGPLOT2","Set theme for GGPLOT2","New Functions in Week 5"
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"sample_n","dplyr","Sample a number of observations from a data frame",""
"dnorm","stats","Density distribution for the normal distribution",""
"data.frame","base","Create a data.frame from vectors",""
"expression","base","Used in plots to add symbols to axes",""
"bar","base","Used for annotations, such as ""expression(paste(""-"",bar(y)))""",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"geom_segment","GGPLOT2","Generates a line segment or curve",""
"geom_ribbon","GGPLOT2","Generates an area plot",""
"element_blank","GGPLOT2","This theme element draws nothing, and assigns no space",""
"arrow","GGPLOT2","Draw an arrow in a ggplot graph",""
