"term","package","description","title"
"filter","dplyr","Filter out rows of a data frame according to logical vector","All Functions of Week 2"
"mean","base","Get mean of a vector",""
"sd","stats","Get standard deviation of a vector",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"lm","stats","Fit linear models using least squares",""
"setwd","base","Set Working Directory",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"library","base","Load an R package",""
"summary","base","Obtain summary statistics or detailed regression output",""
"nobs","stats","Return the number of observations in a model object",""
