"term","package","description","title"
"library","base","Load an R package","All Functions of Week 7"
"setwd","base","Set Working Directory",""
"read.spss","foreign","Read a .sav file (SPSS data)",""
"attach","base","Attach Set of R Objects to Search Path",""
"str","utils","Get the structure of an R object",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"plot","graphics","Generic function from base R to produce a plot",""
"hist","graphics","Plot a simple histogram",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"seq","base","Create a sequence",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"unique","base","get unique elements",""
"which.max","base","return index of the largest value in a vector",""
"tabulate","base","Counts the number of times each integer occurs in an integer-only vector",""
"get_mode","rstatix","Compute the mode in a given vector.",""
"mean","base","Get mean of a vector",""
"round","base","Rounds numbers",""
"sd","stats","Get standard deviation of a vector",""
"class","base","Retrieve class of an R object",""
"as.numeric","base","Coerce a vector to numeric",""
"ggtitle","GGPLOT2","Generates a title for a ggplot graph",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"addmargins","stats","Puts Arbitrary Margins on Multidimensional Tables or Arrays",""
"as.factor","base","Coerce a vector to factor",""
"lprop","questionr","Display row percentages of a two-way frequency table",""
"chisq.test","stats","Chi-Squared test (e.g. for cross-tabulations)",""
"factor","base","Create a factor",""
"c","base","Combine values/vectors into a vector",""
"cor","stats","Calculate Correlation Matrix",""
"cor.test","stats","Test for Association/Correlation Between Paired Samples",""
"prop.table","base","Transform frequency table into table of proportions",""
"which","base","return indexes of TRUE entries of a logical vector",""
"with","base","evaluate expression in the context of a data frame",""
"boxplot","graphics","Plot a simple box plot",""
"tapply","base","Create statistical summaries by group based on the levels of one or several factors",""
"order","base","Get indexes that will sort a vector",""
"barplot","graphics","Plot a simple bar plot",""
"par","graphics","Set parameters of the plotting device",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
