"term","package","description","title"
"setwd","base","Set Working Directory","All Functions of Week 7"
"library","base","Load an R package",""
"read_csv","readr","Read CSV files",""
"with","base","evaluate expression in the context of a data frame",""
"replace","base","Replace elements in a vector",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"factor","base","Create a factor",""
"factor","base","Create factor variables",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"mutate","dplyr","Create new variables",""
"recode","dplyr","Recode a variable",""
"as.numeric","base","Coerce a vector to numeric",""
"as.character","base","Coerce a vector to character",""
"write.csv","utils","write a csv file to a data frame",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"geom_smooth","GGPLOT2","Generates a smoothed conditional means curve / line",""
"lm","stats","Fit linear models using least squares",""
"summary","base","Obtain summary statistics or detailed regression output",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"confint","stats","Calculate confidence Intervals for Model Parameters",""
"theme","GGPLOT2","Customize ggplot themes",""
"element_line","GGPLOT2","Customise line appearance",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"element_blank","GGPLOT2","This theme element draws nothing, and assigns no space",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"ggtitle","GGPLOT2","Generates a title for a ggplot graph",""
"ggsave","GGPLOT2","Save a ggplot to file",""
"list","base","Create a list object",""
"modelsummary","modelsummary","Creates regression and data tables",""
"c","base","Combine values/vectors into a vector",""
"group_tt","tinytable","Grouping in tinytable",""
"save_tt","tinytable","Save a tinytable object to a file",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"names","base","Get or set names of an object",""
"dim","base","Get dimensions of a data frame ",""
"class","base","Retrieve class of an R object",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"geom_hline","GGPLOT2","Add a horizontal line in GGPLOT2",""
"mean","base","Get mean of a vector",""
"geom_vline","GGPLOT2","Draws a vertical line",""
"save_plot","cowplot","Save a plot to a file",""
