"term","package","description","title"
"ifelse","base","Return a or b depending on the value of test","All Functions Used So Far, Week 7"
"setwd","base","Set Working Directory",""
"library","base","Load an R package",""
"class","base","Retrieve class of an R object",""
"c","base","Combine values/vectors into a vector",""
"mean","base","Get mean of a vector",""
"sd","stats","Get standard deviation of a vector",""
"rbind","base","Combine R objects by rows",""
"cbind","base","Combine R objects by columns",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"ls.str","utils","Similarly to ls, with a print() method that calls str() on each object",""
"read.spss","foreign","Read a .sav file (SPSS data)",""
"attach","base","Attach Set of R Objects to Search Path",""
"View","base","View a data frame",""
"nrow","base","Get number of rows of a data frame",""
"ncol","base","Get number of columns of a data frame",""
"dim","base","Get dimensions of a data frame ",""
"names","base","Retrieve names of a list/vector",""
"str","utils","Get the structure of an R object",""
"head","utils","Show first 5 rows of a data frame",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"plot","graphics","Generic function from base R to produce a plot",""
"read_excel","readxl","Read an Excel file",""
"factor","base","Create a factor",""
"mutate","dplyr","Modify/create a column in a data frame",""
"recode","dplyr","Recode a variable",""
"ordered","dplyr","Create an ordered factor",""
"cut","base","Convert Numeric to Factor",""
"levels","base","Get levels of a factor ",""
"select","dplyr","Select columns from a tibble/data frame",""
"slice","dplyr","Subset rows using their positions",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of varaibles",""
"desc","dplyr","Arrange in descending order",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"summarise","dplyr","collapse the dataset to a summary statistic. Usually used with group_by()",""
"median","stats","Get median of a vector",""
"summary","base","Obtain summary statistics or detailed regression output",""
"min","base","Get minimum of a vector",""
"max","base","Get maximum of a vector",""
"range","base","Return range of values",""
"var","stats","Calculate variance",""
"hist","graphics","Plot a simple histogram",""
"seq","base","Create a sequence",""
"boxplot","graphics","Plot a simple box plot",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
"ggtitle","GGPLOT2","Generates a title for a ggplot graph",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"sum","base","Get sum of numeric values or a vector",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"geom_bar","GGPLOT2","Generates a bar chart",""
"rm","base","Remove objects",""
"install.packages","base","Install R package",""
"freq","questionr","Generate frequency tables",""
"pie","graphics","Creates a basic pie chart",""
"lprop","questionr","Display row percentages of a two-way frequency table",""
"order","base","Get indexes that will sort a vector",""
"matrix","base","Creates a matrix from the given set of values.",""
"unique","base","get unique elements",""
"which.max","base","return index of the largest value in a vector",""
"tabulate","base","Counts the number of times each integer occurs in an integer-only vector",""
"get_mode","rstatix","Compute the mode in a given vector.",""
"round","base","Rounds numbers",""
"sample","base","Takes a sample of the specified size",""
"set.seed","base","Initialise a pseudorandom number generator.",""
"rnorm","base","Generate random numbers from a normal distribution",""
"as.data.frame","base","Functions to check if an object is a data frame, or coerce it if possible.",""
"after_stat","GGPLOT2","Control aesthetic evaluation. On the module used for displying percent",""
"geom_density","GGPLOT2","Generates a density plot",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"theme_bw","GGPLOT2","A black and white ggplot theme",""
"grid.arrange","gridExtra","Places graphical objects into a rectangular grid",""
"runif","stats","Draws ranndom numbers from the uniform distribution",""
"rbeta","stats","Beta Random Number Generating Function",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"complete.cases","stats","Find Complete Cases",""
"with","base","evaluate expression in the context of a data frame",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"prop.test","stats","Test of Equal or Given Proportions",""
"theme","GGPLOT2","Set theme for GGPLOT2",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"sample_n","dplyr","Sample a number of observations from a data frame",""
"dnorm","stats","Density distribution for the normal distribution",""
"data.frame","base","Create a data.frame from vectors",""
"expression","base","Used in plots to add symbols to axes",""
"bar","base","Used for annotations, such as ""expression(paste(""-"",bar(y)))""",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"geom_segment","GGPLOT2","Generates a line segment or curve",""
"geom_ribbon","GGPLOT2","Generates an area plot",""
"element_blank","GGPLOT2","This theme element draws nothing, and assigns no space",""
"arrow","GGPLOT2","Draw an arrow in a ggplot graph",""
"as.numeric","base","Coerce a vector to numeric",""
"addmargins","stats","Puts Arbitrary Margins on Multidimensional Tables or Arrays",""
"as.factor","base","Coerce a vector to factor",""
"chisq.test","stats","Chi-Squared test (e.g. for cross-tabulations)",""
"cor","stats","Calculate Correlation Matrix",""
"cor.test","stats","Test for Association/Correlation Between Paired Samples",""
"prop.table","base","Transform frequency table into table of proportions",""
"which","base","return indexes of TRUE entries of a logical vector",""
"tapply","base","Create statistical summaries by group based on the levels of one or several factors",""
"barplot","graphics","Plot a simple bar plot",""
"par","graphics","Set parameters of the plotting device",""
