"term","package","description","title"
"ifelse","base","Return a or b depending on the value of test","All Functions of Week 5"
"setwd","base","Set Working Directory",""
"library","base","Load an R package",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"summary","base","Obtain summary statistics or detailed regression output",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_density","GGPLOT2","Generates a density plot",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"theme","GGPLOT2","Set theme for GGPLOT2",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"set.seed","base","Initialise a pseudorandom number generator.",""
"sample_n","dplyr","Sample a number of observations from a data frame",""
"with","base","evaluate expression in the context of a data frame",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"seq","base","Create a sequence",""
"dnorm","stats","Density distribution for the normal distribution",""
"data.frame","base","Create a data.frame from vectors",""
"expression","base","Used in plots to add symbols to axes",""
"c","base","Combine values/vectors into a vector",""
"bar","base","Used for annotations, such as ""expression(paste(""-"",bar(y)))""",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"geom_segment","GGPLOT2","Generates a line segment or curve",""
"geom_ribbon","GGPLOT2","Generates an area plot",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"element_blank","GGPLOT2","This theme element draws nothing, and assigns no space",""
"arrow","GGPLOT2","Draw an arrow in a ggplot graph",""
