"term","package","description","title"
"library","base","Load an R package","All Functions of Week 3"
"setwd","base","Set Working Directory",""
"read.spss","foreign","Read a .sav file (SPSS data)",""
"attach","base","Attach Set of R Objects to Search Path",""
"names","base","Retrieve names of a list/vector",""
"order","base","Get indexes that will sort a vector",""
"class","base","Retrieve class of an R object",""
"str","utils","Get the structure of an R object",""
"boxplot","graphics","Plot a simple box plot",""
"matrix","base","Creates a matrix from the given set of values.",""
"hist","graphics","Plot a simple histogram",""
"seq","base","Create a sequence",""
"unique","base","get unique elements",""
"which.max","base","return index of the largest value in a vector",""
"tabulate","base","Counts the number of times each integer occurs in an integer-only vector",""
"get_mode","rstatix","Compute the mode in a given vector.",""
"plot","graphics","Generic function from base R to produce a plot",""
"round","base","Rounds numbers",""
"mean","base","Get mean of a vector",""
"sample","base","Takes a sample of the specified size",""
"set.seed","base","Initialise a pseudorandom number generator.",""
"rnorm","base","Generate random numbers from a normal distribution",""
"as.data.frame","base","Functions to check if an object is a data frame, or coerce it if possible.",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"after_stat","GGPLOT2","Control aesthetic evaluation. On the module used for displying percent",""
"geom_density","GGPLOT2","Generates a density plot",""
"ggtitle","GGPLOT2","Generates a title for a ggplot graph",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"theme_bw","GGPLOT2","A black and white ggplot theme",""
"c","base","Combine values/vectors into a vector",""
"grid.arrange","gridExtra","Places graphical objects into a rectangular grid",""
"runif","stats","Draws ranndom numbers from the uniform distribution",""
"rbeta","stats","Beta Random Number Generating Function",""
