"term","package","description","title"
"library","base","Load an R package","All Functions Used So Far, Week 9"
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"setwd","base","Set Working Directory",""
"mutate","dplyr","Modify/create a column in a data frame",""
"ordered","dplyr","Create an ordered factor",""
"cut","base","Convert Numeric to Factor",""
"c","base","Combine values/vectors into a vector",""
"with","base","evaluate expression in the context of a data frame",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"chisq.test","stats","Chi-Squared test (e.g. for cross-tabulations)",""
"round","base","Rounds numbers",""
"summary","base","Obtain summary statistics or detailed regression output",""
"median","stats","Get median of a vector",""
"mean","base","Get mean of a vector",""
"prop.test","stats","Test of Equal or Given Proportions",""
"leveneTest","car","Computes Levene's test for homogeneity of variance across groups.",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"theme","GGPLOT2","Set theme for GGPLOT2",""
"element_line","GGPLOT2","Customise line appearance",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"set.seed","base","Initialise a pseudorandom number generator.",""
"rename","dplyr","Renames columns in a data frame or tibble.",""
"select","dplyr","Select columns from a tibble/data frame",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"slice_sample","dplyr","Randomly selects rows from a data frame or tibble.",""
"min","base","Get minimum of a vector",""
"nrow","base","Get number of rows of a data frame",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"geom_smooth","GGPLOT2","Generates a smoothed conditional means curve / line",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"ggsave","ggplot2","Saves the last ggplot or a specified ggplot object to a file",""
"read_excel","readxl","Read an Excel file",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"colnames","base","Retrieve column names of a data frame",""
"lm","base","Fit a linear model",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
"element_blank","GGPLOT2","This theme element draws nothing, and assigns no space",""
"attach","base","Attach Set of R Objects to Search Path",""
"data.frame","base","Create a data.frame from vectors",""
"confint","stats","Calculate confidence Intervals for Model Parameters",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"ggtitle","GGPLOT2","Generates a title for a ggplot graph",""
"list","base","Create a list object",""
"modelsummary","modelsummary","Creates regression and data tables",""
"group_tt","tinytable","Grouping in tinytable",""
"names","base","Retrieve names of a list/vector",""
"dim","base","Get dimensions of a data frame ",""
"class","base","Retrieve class of an R object",""
"geom_hline","GGPLOT2","Add a horizontal line in GGPLOT2",""
"geom_vline","GGPLOT2","Draws a vertical line",""
"theme_latex","tinytable","A theme for modelsummary/tinytable tables",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"plotPlane","rockchalk","Draw a 3-D regression plot for two predictors",""
"levels","base","Get levels of a factor ",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"droplevels","base","Drop Unused Levels from Factors",""
"as.numeric","base","Coerce a vector to numeric",""
"ifelse","base","Return a or b depending on the value of test",""
"is.element","base","Check if a value is element of a vector",""
"recode","dplyr","Recode a variable",""
"prop.table","base","Transform frequency table into table of proportions",""
"relevel","stats","Reorder Levels of Factor",""
"log","base","log (default base = e)",""
