"term","package","description","title"
"install.packages","utils","Install R packages","All Functions Used So Far, Week 8"
"c","base","Combine values/vectors into a vector",""
"install_rsthemes","rsthemes","Install the rsthemes collection of RStudio themes",""
"setwd","base","Set Working Directory",""
"library","base","Load an R package",""
"read_excel","readxl","Read an Excel file",""
"View","base","View a data frame",""
"head","utils","Show first 5 rows of a data frame",""
"names","base","Get or set names of an object",""
"str","utils","Get the structure of an R object",""
"factor","base","Create a factor",""
"factor","base","Create factor variables",""
"mutate","dplyr","Create new variables",""
"recode_factor","dplyr","Recode factor values, changing the levels and their order",""
"cut","base","Convert Numeric to Factor",""
"levels","base","Get levels of a factor ",""
"recode","dplyr","Recode a variable",""
"ifelse","base","Return a or b depending on the value of test",""
"select","dplyr","Select columns from a tibble/data frame",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"slice","dplyr","Select rows by position",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of variables",""
"order","base","Get indexes that will sort a vector",""
"desc","dplyr","Arrange in descending order",""
"with","base","evaluate expression in the context of a data frame",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"summarise","dplyr","collapse the dataset to a summary statistic. Usually used with group_by()",""
"mean","base","Get mean of a vector",""
"aggregate","stats","Compute summary statistics of data subsets / by groups",""
"median","stats","Get median of a vector",""
"summary","base","Obtain summary statistics or detailed regression output",""
"quantile","stats","Obtain empirical quantiles of a vector",""
"min","base","Get minimum of a vector",""
"max","base","Get maximum of a vector",""
"range","base","Return range of values",""
"sd","stats","Get standard deviation of a vector",""
"var","stats","Calculate variance",""
"hist","graphics","Plot a simple histogram",""
"boxplot","graphics","Plot a simple box plot",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"seq","base","Create a sequence",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"sum","base","Get sum of numeric values or a vector",""
"plot","graphics","Generic function from base R to produce a plot",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"print","base","Print object to the console",""
"nrow","base","Get number of rows of a data frame",""
"length","base","Returns number of elements in an object",""
"which.max","base","return index of the largest value in a vector",""
"which.min","base","Return the index of the smallest value in a vector",""
"ordered","dplyr","Create an ordered factor",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"read_dta","haven","Read a .dta file (Stata data)",""
"data.frame","base","Create a data.frame from vectors",""
"separate","tidyr","Split columns",""
"as.numeric","base","Coerce a vector to numeric",""
"as.character","base","Coerce a vector to character",""
"n","dplyr","The number of observations in the current group.",""
"spread","tidyr","Spread a key-value pair across multiple columns",""
"summarize","dplyr","Collapse the dataset to a summary statistic (American-spelling alias of summarise)",""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"write.csv","utils","write a csv file to a data frame",""
"write_dta","haven","Write Stata files",""
"save","base","Save R objects",""
