"term","package","description","title"
"read_excel","readxl","Read an Excel file","New Functions in Week 2"
"factor","base","Create a factor",""
"mutate","dplyr","Modify/create a column in a data frame",""
"recode","dplyr","Recode a variable",""
"ordered","dplyr","Create an ordered factor",""
"cut","base","Convert Numeric to Factor",""
"levels","base","Get levels of a factor ",""
"select","dplyr","Select columns from a tibble/data frame",""
"slice","dplyr","Subset rows using their positions",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of varaibles",""
"desc","dplyr","Arrange in descending order",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"summarise","dplyr","collapse the dataset to a summary statistic. Usually used with group_by()",""
"median","stats","Get median of a vector",""
"summary","base","Obtain summary statistics or detailed regression output",""
"min","base","Get minimum of a vector",""
"max","base","Get maximum of a vector",""
"range","base","Return range of values",""
"var","stats","Calculate variance",""
"hist","graphics","Plot a simple histogram",""
"seq","base","Create a sequence",""
"boxplot","graphics","Plot a simple box plot",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
"ggtitle","GGPLOT2","Generates a title for a ggplot graph",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"sum","base","Get sum of numeric values or a vector",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"geom_bar","GGPLOT2","Generates a bar chart",""
"rm","base","Remove objects",""
"install.packages","base","Install R package",""
"freq","questionr","Generate frequency tables",""
"pie","graphics","Creates a basic pie chart",""
"lprop","questionr","Display row percentages of a two-way frequency table",""
