"term","package","description","title"
"setwd","base","Set Working Directory","All Functions of Week 8"
"library","base","Load an R package",""
"read_csv","readr","Read CSV files",""
"with","base","evaluate expression in the context of a data frame",""
"replace","base","Replace elements in a vector",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"factor","base","Create a factor",""
"factor","base","Create factor variables",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"mutate","dplyr","Create new variables",""
"recode","dplyr","Recode a variable",""
"as.numeric","base","Coerce a vector to numeric",""
"as.character","base","Coerce a vector to character",""
"write.csv","utils","write a csv file to a data frame",""
"lm","stats","Fit linear models using least squares",""
"summary","base","Obtain summary statistics or detailed regression output",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"list","base","Create a list object",""
"c","base","Combine values/vectors into a vector",""
"modelsummary","modelsummary","Creates regression and data tables",""
"group_tt","tinytable","Grouping in tinytable",""
"theme_latex","tinytable","A theme for modelsummary/tinytable tables",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"geom_smooth","GGPLOT2","Generates a smoothed conditional means curve / line",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"theme","GGPLOT2","Customize ggplot themes",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"plotPlane","rockchalk","Draw a 3-D regression plot for two predictors",""
"margin","GGPLOT2","Set margins around plot elements (used inside theme elements)",""
"element_blank","GGPLOT2","This theme element draws nothing, and assigns no space",""
"str","utils","Get the structure of an R object",""
"head","utils","Show first 5 rows of a data frame",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"after_stat","GGPLOT2","Control aesthetic evaluation. On the module used for displying percent",""
"sum","base","Get sum of numeric values or a vector",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"quantile","stats","Obtain empirical quantiles of a vector",""
"select","dplyr","Select columns from a tibble/data frame",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of variables",""
"which","base","return indexes of TRUE entries of a logical vector",""
"colnames","base","Retrieve column names of a data frame",""
"order","base","Get indexes that will sort a vector",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"summarise","dplyr","collapse the dataset to a summary statistic. Usually used with group_by()",""
"print","base","Print object to the console",""
"geom_bar","GGPLOT2","Generates a bar chart",""
"reorder","stats","Reorder Levels of Factor based on the values of a second variable, usually numeric.",""
"coord_flip","GGPLOT2","Flip the x and y axes of a graph",""
"confint","stats","Calculate confidence Intervals for Model Parameters",""
"predict","stats","Generate predicted values from model objects",""
"data.frame","base","Create a data.frame from vectors",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"scale_color_discrete","GGPLOT2","Customise the discrete colour scale",""
