"term","package","description","title"
"ifelse","base","Return a or b depending on the value of test","All Functions Used on PO12Q"
"setwd","base","Set Working Directory",""
"library","base","Load an R package",""
"read_dta","haven","Read a .dta file (Stata data)",""
"summary","base","Obtain summary statistics or detailed regression output",""
"mutate","dplyr","Modify/create a column in a data frame",""
"ordered","dplyr","Create an ordered factor",""
"cut","base","Convert Numeric to Factor",""
"c","base","Combine values/vectors into a vector",""
"with","base","evaluate expression in the context of a data frame",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"chisq.test","stats","Chi-Squared test (e.g. for cross-tabulations)",""
"prop.test","stats","Test of Equal or Given Proportions",""
"leveneTest","car","Computes Levene's test for homogeneity of variance across groups.",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"read_excel","readxl","Read an Excel file",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"geom_smooth","GGPLOT2","Generates a smoothed conditional means curve / line",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"attach","base","Attach Set of R Objects to Search Path",""
"lm","base","Fit a linear model",""
"as.numeric","base","Coerce a vector to numeric",""
"as.character","base","Coerce a vector to character",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"stargazer","stargazer","Create a regression output table",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"names","base","Retrieve names of a list/vector",""
"levels","base","Get levels of a factor ",""
"subset","base","Return subsets of vectors, matrices or data frames which meet conditions.",""
"droplevels","base","Drop Unused Levels from Factors",""
"is.element","base","Check if a value is element of a vector",""
"recode","dplyr","Recode a variable",""
"prop.table","base","Transform frequency table into table of proportions",""
"relevel","stats","Reorder Levels of Factor",""
"confint","stats","Calculate confidence Intervals for Model Parameters",""
"xlab","GGPLOT2","Label the x axis (ggplot)",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"log","base","log (default base = e)",""
"set.seed","base","Initialise a pseudorandom number generator.",""
"sample_frac","dplyr","Sample a fraction of observations from a data frame",""
"resid","stats","Extracts model residuals from objects returned by modeling functions",""
"nobs","gdata","Compute the number of non-missing observations",""
"pchisq","stats","Gives the distribution function of the chi-squared distribution",""
"bptest","lmtest","Breusch-Pagan Test for Homoscedasticity",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"coeftest","lmtest","Inference for Estimated Coefficients",""
"vcovHC","sandwich","Heteroscedasticity-consistent estimation of the covariance matrix of the coefficient estimates",""
"vif","car","Calculate Variance Inflation Factor",""
"select","dplyr","Select columns from a tibble/data frame",""
